Id ; Genre ; Neuf ; Surface ; Pieces ; Quartier ; Prix
annonce-138905473-376235 ; Appartement ; 0; 90.0; 3 ; cathédrale ; 374400
annonce-140620177-376235 ; Appartement ; 0; 146.27; 5 ; sud ; 499200
annonce-140620179-376235 ; Appartement ; 0; 110.0; 5 ; prébendes ; 499200
annonce-133494153-376235 ; Maison ; 0; 132.0; 6 ; prébendes ; 508000
annonce-137425993-376235 ; Maison ; 0; 185.0; 7 ; strasbourg ; 676000
annonce-127971537-376235 ; Maison ; 0; 273.46; 9 ; portes ; 844600
annonce-130566449-376235 ; Maison ; 0; 275.65; 9 ; mairie ; 884000
annonce-125112921-376235 ; Maison ; 0; 257.0; 11 ; NaN ; 980400
annonce-135296655-376235 ; Maison ; 0; 330.0; 11 ; prébendes ; 1071200
annonce-138832539-376235 ; Maison ; 0; 275.0; 10 ; cathédrale ; 1185000
annonce-114700879-376235 ; Maison ; 0; 395.0; 11 ; portes ; 1248000
annonce-139642531-376235 ; Maison ; 0; 125.0; 6 ; sud ; 364000
annonce-121471041-376235 ; Maison ; 0; 150.0; 6 ; velpeau ; 588000
annonce-141045979-376235 ; Maison ; 0; 200.0; 9 ; prébendes ; 600000
annonce-140569017-376235 ; Maison ; 0; 170.0; 9 ; velpeau ; 613600
annonce-118040995-376235 ; Maison ; 0; 200.0; 9 ; conservatoire ; 640000
annonce-134010105-376235 ; Maison ; 0; 170.0; 7 ; prébendes ; 655200
annonce-139241797-376235 ; Maison ; 0; 160.0; 7 ; prébendes ; 717600
annonce-141452717-30306965 ; Appartement ; 1; 31.6; 2 ; NaN ; 130900
annonce-141452757-30306965 ; Appartement ; 1; 60.73; 3 ; NaN ; 239000
annonce-132463195-376235 ; Appartement ; 0; 61.53; 3 ; cluzel ; 173250
annonce-132463197-376235 ; Appartement ; 0; 75.75; 4 ; cluzel ; 204750
annonce-140931309-376235 ; Appartement ; 0; 72.52; 2 ; halles ; 236250
annonce-139703261-376235 ; Appartement ; 0; 114.09; 5 ; prébendes ; 582400
annonce-127596377-30118075 ; Appartement ; 1; 40.0; 2 ; centre ; 166000
annonce-134423757-30118075 ; Appartement ; 1; 84.0; 3 ; centre ; 360700
annonce-127596865-30118075 ; Appartement ; 1; 106.0; 4 ; centre ; 425000
annonce-125112923-376235 ; Appartement ; 0; 140.0; 5 ; béranger ; 468000
annonce-139238115-765788 ; Appartement ; 1; 29.0; 1 ; NaN ; 105000
annonce-139238117-765788 ; Appartement ; 1; 41.0; 2 ; NaN ; 136000
annonce-139238111-765788 ; Appartement ; 1; 58.0; 3 ; NaN ; 180000
annonce-139238121-765788 ; Appartement ; 1; 83.0; 4 ; NaN ; 300000
annonce-139238125-765788 ; Appartement ; 1; 102.0; 5 ; NaN ; 345000
annonce-136012527-376235 ; Maison ; 0; 196.44; 8 ; prébendes ; 650000
annonce-132823513-30118075 ; Appartement ; 1; 25.0; 1 ; NaN ; 103500
annonce-132469583-30118075 ; Appartement ; 1; 43.0; 2 ; NaN ; 158500
annonce-141535549-520011 ; Appartement ; 1; 78.57; 4 ; NaN ; 180000
annonce-132816973-30118075 ; Appartement ; 1; 55.0; 3 ; NaN ; 203500
annonce-141541299-520011 ; Appartement ; 1; 58.25; 2 ; NaN ; 150500
annonce-141541345-520011 ; Appartement ; 1; 65.41; 3 ; NaN ; 165500
annonce-141541389-520011 ; Appartement ; 1; 83.91; 4 ; NaN ; 228500
annonce-140127149-30034771 ; Appartement ; 1; 61.96; 3 ; NaN ; 208957
annonce-136746947-776962 ; Appartement ; 0; 66.0; 4 ; NaN ; 118800
annonce-138951431-673907 ; Appartement ; 0; 87.0; 4 ; NaN ; 235000
annonce-141065351-317111 ; Maison ; 0; 110.0; 5 ; nord ; 253900
annonce-140390213-776962 ; Maison ; 0; 110.0; 5 ; NaN ; 276660
annonce-141329613-417945 ; Maison ; 0; 210.0; 8 ; NaN ; 707200
annonce-139799085-417945 ; Maison ; 0; 320.0; 13 ; sud ; 885700
annonce-140234955-417945 ; Maison ; 0; 210.0; 8 ; cathédrale ; 992000
annonce-141065349-317111 ; Appartement ; 0; 51.6; 3 ; nord ; 114000
annonce-140733655-317111 ; Maison ; 0; 120.0; 5 ; NaN ; 239000
annonce-141480083-417945 ; Appartement ; 0; 145.0; 6 ; mairie ; 499200
annonce-140772827-317111 ; Appartement ; 0; 79.0; 4 ; sud ; 126500
annonce-116829281-30083572 ; Appartement ; 1; 30.0; 1 ; NaN ; 114135
annonce-116829277-30083572 ; Appartement ; 1; 39.0; 2 ; NaN ; 141385
